county_name,state,year,month,date,treated,post,treated_post,total_permits,single_family,multifamily,log_total_permits,log_single_family,log_multifamily,county_id,time_id,time_trend
Ca Sandiego,California,2019,9,2019-09-01,1,0,0,976,201,1550,6.884486652042782,5.308267697401205,7.346655163176539,California_Ca Sandiego,2019-09,1.6646132785763177
Ca Sandiego,California,2019,10,2019-10-01,1,0,0,734,309,850,6.5998704992128365,5.736572297479192,6.7464121285733745,California_Ca Sandiego,2019-10,1.7467488021902806
Ca Sandiego,California,2019,11,2019-11-01,1,0,0,441,230,422,6.091309882077698,5.442417710521793,6.0473721790462776,California_Ca Sandiego,2019-11,1.8316221765913758
Ca Sandiego,California,2019,12,2019-12-01,1,0,0,511,197,628,6.238324625039508,5.288267030694535,6.444131256700441,California_Ca Sandiego,2019-12,1.9137577002053388
Ca Sandiego,California,2020,1,2020-01-01,1,1,1,624,262,724,6.437751649736401,5.572154032177765,6.586171654854675,California_Ca Sandiego,2020-01,1.998631074606434
Ca Sandiego,California,2020,2,2020-02-01,1,1,1,467,371,192,6.148468295917647,5.918893854273146,5.262690188904886,California_Ca Sandiego,2020-02,2.083504449007529
Ca Sandiego,California,2020,3,2020-03-01,1,1,1,859,200,1318,6.756932389247553,5.303304908059076,7.1846291527173145,California_Ca Sandiego,2020-03,2.16290212183436
Ca Sandiego,California,2020,4,2020-04-01,1,1,1,674,156,1036,6.51471269087253,5.056245805348308,6.9440872082295275,California_Ca Sandiego,2020-04,2.2477754962354553
Ca Sandiego,California,2020,5,2020-05-01,1,1,1,621,136,970,6.432940092739179,4.919980925828125,6.878326468291325,California_Ca Sandiego,2020-05,2.329911019849418
Ca Sandiego,California,2020,6,2020-06-01,1,1,1,865,342,1046,6.763884908562435,5.8377304471659395,6.953684210870537,California_Ca Sandiego,2020-06,2.414784394250513
Ca Sandiego,California,2020,7,2020-07-01,1,1,1,752,249,1006,6.6240652277998935,5.521460917862246,6.914730892718563,California_Ca Sandiego,2020-07,2.4969199178644765
Ca Sandiego,California,2020,8,2020-08-01,1,1,1,990,257,1466,6.898714534329988,5.552959584921617,7.2909747781429814,California_Ca Sandiego,2020-08,2.5817932922655715
Ca Sandiego,California,2020,9,2020-09-01,1,1,1,547,238,618,6.306275286948016,5.476463551931511,6.428105272684596,California_Ca Sandiego,2020-09,2.6666666666666665
Ca Sandiego,California,2020,10,2020-10-01,1,1,1,898,266,1264,6.80128303447162,5.58724865840025,7.142827401161621,California_Ca Sandiego,2020-10,2.74880219028063
Ca Sandiego,California,2020,11,2020-11-01,1,1,1,602,146,912,6.401917196727186,4.990432586778736,6.816735880594968,California_Ca Sandiego,2020-11,2.833675564681725
Ca Sandiego,California,2020,12,2020-12-01,1,1,1,1548,275,2546,7.3453648404168685,5.62040086571715,7.842671474979457,California_Ca Sandiego,2020-12,2.915811088295688
Ca Sandiego,California,2021,1,2021-01-01,1,1,1,978,226,1504,6.88653164253051,5.424950017481403,7.316548177182976,California_Ca Sandiego,2021-01,3.0006844626967832
Ca Sandiego,California,2021,2,2021-02-01,1,1,1,750,278,944,6.621405651764134,5.631211781821365,6.851184927493743,California_Ca Sandiego,2021-02,3.0855578370978782
Ca Sandiego,California,2021,3,2021-03-01,1,1,1,894,294,1200,6.796823718274855,5.68697535633982,7.0909098220799835,California_Ca Sandiego,2021-03,3.162217659137577
Ca Sandiego,California,2021,4,2021-04-01,1,1,1,540,267,546,6.293419278846481,5.5909869805108565,6.304448802421981,California_Ca Sandiego,2021-04,3.247091033538672
Ca Sandiego,California,2021,5,2021-05-01,1,1,1,391,196,390,5.971261839790462,5.2832037287379885,5.968707559985366,California_Ca Sandiego,2021-05,3.3292265571526354
